서비스명,블로그 통계,
데이터명,방문횟수,
데이터 단위,일간,
데이터 기간,2019-07-21 ~ 2019-10-18,
다운로드 날짜,2019년 10월 19일 11시 48분 54초,
,,
날짜,요일,방문횟수
2019-10-18,금,3074
2019-10-17,목,3522
2019-10-16,수,3725
2019-10-15,화,3760
2019-10-14,월,3579
2019-10-13,일,2426
2019-10-12,토,2242
2019-10-11,금,3304
2019-10-10,목,3492
2019-10-09,수,2478
2019-10-08,화,3390
2019-10-07,월,3671
2019-10-06,일,2213
2019-10-05,토,1887
2019-10-04,금,2882
2019-10-03,목,2261
2019-10-02,수,3250
2019-10-01,화,3698
2019-09-30,월,3650
2019-09-29,일,2312
2019-09-28,토,1950
2019-09-27,금,2763
2019-09-26,목,3383
2019-09-25,수,3377
2019-09-24,화,3443
2019-09-23,월,3405
2019-09-22,일,2151
2019-09-21,토,1874
2019-09-20,금,2651
2019-09-19,목,2964
2019-09-18,수,2968
2019-09-17,화,3010
2019-09-16,월,3010
2019-09-15,일,1522
2019-09-14,토,1145
2019-09-13,금,908
2019-09-12,목,1273
2019-09-11,수,2271
2019-09-10,화,2897
2019-09-09,월,3076
2019-09-08,일,1530
2019-09-07,토,1674
2019-09-06,금,2297
2019-09-05,목,2486
2019-09-04,수,2464
2019-09-03,화,2519
2019-09-02,월,2174
2019-09-01,일,989
2019-08-31,토,974
2019-08-30,금,1604
2019-08-29,목,1957
2019-08-28,수,1959
2019-08-27,화,2066
2019-08-26,월,1942
2019-08-25,일,988
2019-08-24,토,928
2019-08-23,금,1583
2019-08-22,목,1927
2019-08-21,수,1953
2019-08-20,화,2004
2019-08-19,월,1941
2019-08-18,일,1189
2019-08-17,토,1146
2019-08-16,금,1624
2019-08-15,목,1283
2019-08-14,수,1868
2019-08-13,화,2178
2019-08-12,월,2011
2019-08-11,일,1136
2019-08-10,토,1241
2019-08-09,금,2001
2019-08-08,목,2145
2019-08-07,수,1996
2019-08-06,화,2198
2019-08-05,월,2084
2019-08-04,일,1073
2019-08-03,토,1026
2019-08-02,금,1706
2019-08-01,목,2027
2019-07-31,수,2304
2019-07-30,화,2393
2019-07-29,월,2434
2019-07-28,일,1242
2019-07-27,토,1155
2019-07-26,금,1846
2019-07-25,목,2137
2019-07-24,수,2186
2019-07-23,화,2359
2019-07-22,월,2276
2019-07-21,일,1151
,,
